Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
4320	-14062.5	-14513.37	450.8653	81.32359	7.092175
4330	-14043.42	-14499.52	456.0958	91.96226	7.019228
4340	-14031	-14507.42	476.4243	84.92648	6.797822
4350	-14033.96	-14501.05	467.0847	91.87626	6.900077
4360	-14054.33	-14529.12	474.7909	92.8765	6.812805
4370	-14034.39	-14508.01	473.6137	92.89692	6.825401
4380	-14056.12	-14519.8	463.675	86.82704	6.949265
4390	-14060.74	-14531	470.2645	88.5825	6.873067
4400	-14036.76	-14508.16	471.4033	85.52731	6.858391
4410	-14046.4	-14502.8	456.395	86.90186	7.033017
4420	-14059	-14510.01	451.0089	78.27354	7.07219
4430	-14029.81	-14491.75	461.9432	80.93149	6.953658
4440	-14068.38	-14504.22	435.8474	84.94086	7.275579
4450	-14085.7	-14516.08	430.3836	87.42454	7.329761
4460	-14039.06	-14514.06	475.0038	97.26759	6.788009
4470	-14067.25	-14540.95	473.7064	82.04057	6.816262
4480	-14021.29	-14497.58	476.2923	84.675	6.798485
4490	-14058.96	-14518.31	459.3512	83.36964	6.995916
4500	-14114.4	-14531.12	416.7116	82.34315	7.510317
4510	-14061.74	-14528.54	466.7972	88.975	6.911593
4520	-14025.42	-14506.61	481.1923	86.56005	6.746921
4530	-14029.24	-14509.87	480.6353	90.54777	6.755027
4540	-14065.16	-14510.39	445.2357	82.97305	7.164859
4550	-14066.97	-14520.95	453.9808	83.55819	7.060684
4560	-14073.67	-14528.25	454.5853	86.65066	7.054192
4570	-14019.77	-14499.31	479.5359	88.85102	6.768431
4580	-14053.05	-14531.84	478.7837	90.13418	6.776042
4590	-14090.43	-14542.2	451.7725	84.65502	7.088055
4600	-14046.28	-14512.57	466.2969	90.434	6.913721
4610	-14034.51	-14497.71	463.1995	85.2779	6.954037
4620	-14066.41	-14523.11	456.6968	88.95515	7.025172
4630	-14046.69	-14522.16	475.4725	90.0059	6.812979
